Date,Team,Player,Acquired,Relinquished,Notes,EstimatedDaysOut
2020-02-27,Warriors,• Andrew Wiggins,,• Andrew Wiggins,thoracic spasm (DTD),
2020-02-29,Warriors,• Andrew Wiggins,• Andrew Wiggins,,returned to lineup,2.0
2021-05-14,Warriors,• Andrew Wiggins,,• Andrew Wiggins,sore left knee (DTD),
2021-05-15,Warriors,• Andrew Wiggins,• Andrew Wiggins,,returned to lineup,1.0
2021-12-18,Warriors,• Andrew Wiggins,,• Andrew Wiggins,sore left knee (DTD),
2021-12-19,Warriors,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with NBA health and safety protocols,
2021-12-27,Warriors,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,8.0
2022-02-01,Warriors,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with sore left knee,
2022-02-02,Warriors,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,1.0
2022-03-07,Warriors,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with sore left foot,
2022-03-08,Warriors,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,1.0
2022-03-14,Warriors,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with illness,
2022-03-19,Warriors,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,5.0
2022-04-10,Warriors,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with tightness in lower back,
2022-04-15,Warriors,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,5.0
2022-11-21,Warriors,• Andrew Wiggins,,• Andrew Wiggins,sore left foot (DTD),
2022-11-23,Warriors,• Andrew Wiggins,• Andrew Wiggins,,returned to lineup,2.0
2022-12-05,Warriors,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with tightness in right adductor,
2023-01-07,Warriors,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,33.0
2023-01-25,Warriors,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with illness,
2023-01-27,Warriors,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,2.0
2023-11-30,Warriors,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with right finger injury,
2023-12-06,Warriors,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,6.0
2023-12-22,Warriors,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with illness,
2023-12-25,Warriors,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,3.0
2024-02-04,Warriors,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with sprained left ankle,
2024-02-07,Warriors,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,3.0
2024-04-05,Warriors,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with sore left ankle,
2024-04-09,Warriors,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,4.0
2024-10-29,Warriors,• Andrew Wiggins,,• Andrew Wiggins,back injury (DTD),
2024-11-01,Warriors,• Andrew Wiggins,• Andrew Wiggins,,returned to lineup,3.0
2024-12-08,Warriors,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with right ankle impingement,
2024-12-15,Warriors,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,7.0
2025-02-13,Heat,• Andrew Wiggins,,• Andrew Wiggins,illness (DTD),
2025-02-20,Heat,• Andrew Wiggins,• Andrew Wiggins,,returned to lineup,7.0
2025-02-28,Heat,• Andrew Wiggins,,• Andrew Wiggins,ankle injury (DTD),
2025-03-05,Heat,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with ankle injury,
2025-03-08,Heat,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,3.0
2025-03-17,Heat,• Andrew Wiggins,,• Andrew Wiggins,leg injury (DTD),
2025-03-21,Heat,• Andrew Wiggins,• Andrew Wiggins,,returned to lineup,4.0
2025-03-28,Heat,• Andrew Wiggins,,• Andrew Wiggins,right hamstring injury (DTD),
2025-03-31,Heat,• Andrew Wiggins,,• Andrew Wiggins,placed on IL with right hamstring injury,
2025-04-09,Heat,• Andrew Wiggins,• Andrew Wiggins,,activated from IL,9.0
2025-04-12,Heat,• Andrew Wiggins,,• Andrew Wiggins,hamstring injury (DTD),
2025-04-16,Heat,• Andrew Wiggins,• Andrew Wiggins,,returned to lineup,4.0
2018-12-08,Blazers,• Anfernee Simons,,• Anfernee Simons,illness (DTD),
2018-12-13,Blazers,• Anfernee Simons,• Anfernee Simons,,returned to lineup,5.0
2020-02-11,Blazers,• Anfernee Simons,,• Anfernee Simons,concussion (DTD),
2020-02-11,Blazers,• Anfernee Simons,• Anfernee Simons,,returned to lineup,0.0
2020-12-23,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with strained left hamstring,
2020-12-25,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,2.0
2021-03-23,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with NBA health and safety protocols,
2021-03-25,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,2.0
2021-11-24,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with illness,
2021-11-26,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,2.0
2021-12-03,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with sprained right ankle,
2021-12-12,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,9.0
2021-12-30,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with NBA health and safety protocols,
2022-01-02,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,3.0
2022-03-06,Blazers,• Anfernee Simons,,• Anfernee Simons,bruised left quadricep (DTD),
2022-03-09,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with bruised left quadricep,
2022-03-11,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with left knee injury (out for season),
2022-11-04,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with left foot injury,
2022-11-07,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,3.0
2023-02-16,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with sprained right ankle,
2023-03-01,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,13.0
2023-03-03,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with sprained right ankle,
2023-03-10,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,7.0
2023-03-21,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with sore right foot (out for season),
2023-10-27,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with surgery on right thumb,
2023-12-06,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,40.0
2023-12-28,Blazers,• Anfernee Simons,,• Anfernee Simons,illness (DTD),
2023-12-29,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with illness,
2024-01-03,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,5.0
2024-01-19,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with illness,
2024-01-21,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,2.0
2024-02-09,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with sprained left ankle,
2024-02-13,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,4.0
2024-03-14,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with left knee tendinitis,
2024-03-16,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,2.0
2024-03-23,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with left knee tendinitis (out for season),
2024-11-13,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with illness,
2024-11-22,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,9.0
2025-01-19,Blazers,• Anfernee Simons,,• Anfernee Simons,placed on IL with strained right elbow,
2025-01-21,Blazers,• Anfernee Simons,• Anfernee Simons,,activated from IL,2.0
2025-03-21,Blazers,• Anfernee Simons,,• Anfernee Simons,illness (DTD),
2025-03-23,Blazers,• Anfernee Simons,• Anfernee Simons,,returned to lineup,2.0
2025-04-01,Blazers,• Anfernee Simons,,• Anfernee Simons,forearm injury (DTD),
2017-10-17,Cavaliers,• Ante Zizic,,• Ante Zizic,placed on IL,
2017-10-21,Cavaliers,• Ante Zizic,• Ante Zizic,,activated from IL,4.0
2017-10-29,Cavaliers,• Ante Zizic,,• Ante Zizic,placed on IL,
2017-11-01,Cavaliers,• Ante Zizic,• Ante Zizic,,activated from IL,3.0
2018-01-02,Cavaliers,• Ante Zizic,,• Ante Zizic,placed on IL,
2018-01-15,Cavaliers,• Ante Zizic,• Ante Zizic,,activated from IL,13.0
2018-01-18,Cavaliers,• Ante Zizic,,• Ante Zizic,placed on IL,
2018-02-07,Cavaliers,• Ante Zizic,• Ante Zizic,,activated from IL,20.0
2018-12-01,Cavaliers,• Ante Zizic,,• Ante Zizic,left knee injury (DTD),
2018-12-05,Cavaliers,• Ante Zizic,,• Ante Zizic,placed on IL with left knee injury,
2018-12-07,Cavaliers,• Ante Zizic,• Ante Zizic,,activated from IL,2.0
2018-12-28,Cavaliers,• Ante Zizic,,• Ante Zizic,sore right knee (DTD),
2019-01-02,Cavaliers,• Ante Zizic,,• Ante Zizic,placed on IL,
2019-01-08,Cavaliers,• Ante Zizic,• Ante Zizic,,activated from IL,6.0
2019-02-11,Cavaliers,• Ante Zizic,,• Ante Zizic,placed on IL with sore lower back,
2019-02-13,Cavaliers,• Ante Zizic,• Ante Zizic,,activated from IL,2.0
2019-03-01,Cavaliers,• Ante Zizic,,• Ante Zizic,concussion (DTD),
2019-03-03,Cavaliers,• Ante Zizic,,• Ante Zizic,placed on IL with concussion,
2019-03-08,Cavaliers,• Ante Zizic,• Ante Zizic,,activated from IL,5.0
2019-10-17,Cavaliers,• Ante Zizic,,• Ante Zizic,left foot injury (out indefinitely),
2019-10-23,Cavaliers,• Ante Zizic,,• Ante Zizic,placed on IL with left foot injury,
2019-11-17,Cavaliers,• Ante Zizic,• Ante Zizic,,activated from IL,25.0
2020-01-13,Cavaliers,• Ante Zizic,,• Ante Zizic,placed on IL with vestibular condition,
2020-02-21,Cavaliers,• Ante Zizic,• Ante Zizic,,activated from IL,39.0
2016-01-01,Raptors,• Anthony Bennett,,• Anthony Bennett,placed on IL,
2016-01-03,Raptors,• Anthony Bennett,,• Anthony Bennett,sore lower back (DTD),
2016-01-06,Raptors,• Anthony Bennett,,• Anthony Bennett,back injury (DTD),
2016-01-22,Raptors,• Anthony Bennett,• Anthony Bennett,,activated from IL,16.0
2024-12-29,Magic,• Anthony Black,,• Anthony Black,back spasms (DTD),
2025-01-01,Magic,• Anthony Black,,• Anthony Black,placed on IL with back spasms,
2025-01-05,Magic,• Anthony Black,• Anthony Black,,activated from IL,4.0
2015-11-03,Lakers,• Anthony Brown,,• Anthony Brown,placed on IL,
2015-11-10,Lakers,• Anthony Brown,• Anthony Brown,,activated from IL,7.0
2015-11-13,Lakers,• Anthony Brown,,• Anthony Brown,placed on IL,
2015-11-16,Lakers,• Anthony Brown,• Anthony Brown,,activated from IL,3.0
2015-11-20,Lakers,• Anthony Brown,,• Anthony Brown,placed on IL,
2015-12-11,Lakers,• Anthony Brown,• Anthony Brown,,activated from IL,21.0
2016-02-09,Lakers,• Anthony Brown,,• Anthony Brown,placed on IL with sore ankle,
2016-02-19,Lakers,• Anthony Brown,• Anthony Brown,,activated from IL,10.0
2016-02-24,Lakers,• Anthony Brown,• Anthony Brown,,activated from IL (P),
2016-03-05,Lakers,• Anthony Brown,,• Anthony Brown,stress reaction in right foot (out for season),
2016-03-06,Lakers,• Anthony Brown,,• Anthony Brown,placed on IL with stress reaction in right foot (out for season),
2017-10-18,Timberwolves,• Anthony Brown,,• Anthony Brown,placed on IL,
2017-11-24,Timberwolves,• Anthony Brown,• Anthony Brown,,activated from IL,37.0
2017-12-01,Timberwolves,• Anthony Brown,,• Anthony Brown,placed on IL,
2018-03-02,Timberwolves,• Anthony Brown,• Anthony Brown,,activated from IL,91.0
2018-04-06,Timberwolves,• Anthony Brown,,• Anthony Brown,placed on IL,
2015-11-11,Pelicans,• Anthony Davis,,• Anthony Davis,strained right hip (DTD),
2015-11-15,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,4.0
2015-11-18,Pelicans,• Anthony Davis,,• Anthony Davis,shoulder injury (DTD),
2015-11-20,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2016-01-08,Pelicans,• Anthony Davis,,• Anthony Davis,bruised back (DTD),
2016-01-13,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,5.0
2016-01-25,Pelicans,• Anthony Davis,,• Anthony Davis,concussion (DTD),
2016-01-30,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,5.0
2016-02-27,Pelicans,• Anthony Davis,,• Anthony Davis,right big toe injury (DTD),
2016-03-02,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,4.0
2016-03-19,Pelicans,• Anthony Davis,,• Anthony Davis,left knee injury and torn labrum in left shoulder (out for season),
2016-03-24,Pelicans,• Anthony Davis,,• Anthony Davis,surgery on left knee (out for season),
2016-03-30,Pelicans,• Anthony Davis,,• Anthony Davis,placed on IL recovering from surgery on left knee (out for season),
2016-10-12,Pelicans,• Anthony Davis,,• Anthony Davis,sprained ankle (DTD),
2016-10-26,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,14.0
2016-11-16,Pelicans,• Anthony Davis,,• Anthony Davis,bruised right quadriceps (DTD),
2016-11-18,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2016-12-10,Pelicans,• Anthony Davis,,• Anthony Davis,rest (DTD),
2017-01-11,Pelicans,• Anthony Davis,,• Anthony Davis,placed on IL with bruised left hip,
2017-01-14,Pelicans,• Anthony Davis,• Anthony Davis,,activated from IL,3.0
2017-01-23,Pelicans,• Anthony Davis,,• Anthony Davis,placed on IL with bruised right quadriceps,
2017-01-25,Pelicans,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2017-04-08,Pelicans,• Anthony Davis,,• Anthony Davis,sore left knee (out for season),
2017-10-26,Pelicans,• Anthony Davis,,• Anthony Davis,left knee tendinitis (DTD),
2017-10-28,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2017-12-02,Pelicans,• Anthony Davis,,• Anthony Davis,strained adductor in left groin/pelvis (DTD),
2017-12-08,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,6.0
2017-12-11,Pelicans,• Anthony Davis,,• Anthony Davis,strained adductor in left groin/pelvis (DTD),
2017-12-13,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2018-01-10,Pelicans,• Anthony Davis,,• Anthony Davis,sprained right ankle (DTD),
2018-01-12,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2018-03-09,Pelicans,• Anthony Davis,,• Anthony Davis,sprained left ankle (DTD),
2018-03-11,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2018-10-27,Pelicans,• Anthony Davis,,• Anthony Davis,placed on IL with sprained right elbow,
2018-10-29,Pelicans,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2018-10-29,Pelicans,• Anthony Davis,,• Anthony Davis,sprained right elbow (DTD),
2018-10-31,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2018-11-01,Pelicans,• Anthony Davis,,• Anthony Davis,sprained right elbow (DTD),
2018-11-03,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2018-11-24,Pelicans,• Anthony Davis,,• Anthony Davis,strained right hip (DTD),
2018-11-26,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2018-12-31,Pelicans,• Anthony Davis,,• Anthony Davis,illness (DTD),
2019-01-02,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2019-01-19,Pelicans,• Anthony Davis,,• Anthony Davis,left index finger injury (out indefinitely),
2019-01-21,Pelicans,• Anthony Davis,,• Anthony Davis,placed on IL with left index finger injury,
2019-02-06,Pelicans,• Anthony Davis,• Anthony Davis,,activated from IL,16.0
2019-02-23,Pelicans,• Anthony Davis,,• Anthony Davis,placed on IL,
2019-02-25,Pelicans,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2019-03-02,Pelicans,• Anthony Davis,,• Anthony Davis,placed on IL,
2019-03-04,Pelicans,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2019-03-08,Pelicans,• Anthony Davis,,• Anthony Davis,lower back spasms (DTD),
2019-03-10,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2019-03-23,Pelicans,• Anthony Davis,• Anthony Davis,,returned to lineup,
2019-03-26,Pelicans,• Anthony Davis,,• Anthony Davis,lower back spasms (out for season),
2019-11-13,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with sore right shoulder,
2019-11-15,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2019-12-17,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with sprained right ankle,
2019-12-19,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2020-01-10,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with bruised tailbone,
2020-01-20,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,10.0
2020-03-01,Lakers,• Anthony Davis,,• Anthony Davis,sore right knee (DTD),
2020-03-03,Lakers,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2020-08-13,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with sore right knee,
2020-08-18,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,5.0
2020-08-25,Lakers,• Anthony Davis,,• Anthony Davis,back spasms (DTD),
2020-12-27,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with right calf injury,
2020-12-28,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,1.0
2021-01-08,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with strained right adductor,
2021-01-10,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2021-01-28,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with bruised right quadriceps,
2021-01-30,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2021-02-08,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with right Achilles injury,
2021-02-12,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,4.0
2021-02-15,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with strained right calf / Achilles,
2021-04-22,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,66.0
2021-05-12,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with left adductor injury,
2021-05-15,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,3.0
2021-06-01,Lakers,• Anthony Davis,,• Anthony Davis,strained left groin (DTD),
2021-06-03,Lakers,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2021-11-24,Lakers,• Anthony Davis,,• Anthony Davis,flu (DTD),
2021-11-25,Lakers,• Anthony Davis,• Anthony Davis,,returned to lineup,1.0
2021-12-10,Lakers,• Anthony Davis,,• Anthony Davis,sore left knee (DTD),
2021-12-15,Lakers,• Anthony Davis,• Anthony Davis,,returned to lineup,5.0
2021-12-18,Lakers,• Anthony Davis,,• Anthony Davis,sprained MCL in left knee (out indefinitely),
2021-12-21,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with sprained MCL in left knee,
2022-01-25,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,35.0
2022-01-28,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with sore right wrist,
2022-01-30,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2022-02-17,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with sprained right foot,
2022-04-01,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,43.0
2022-04-07,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with right foot injury (out for season),
2022-10-28,Lakers,• Anthony Davis,,• Anthony Davis,tightness in lower back (DTD),
2022-10-30,Lakers,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2022-12-07,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with illness,
2022-12-09,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2022-12-18,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with sore right foot,
2023-01-25,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,38.0
2023-03-01,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with stress reaction in right foot,
2023-03-03,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2023-03-15,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with stress reaction in right foot,
2023-03-17,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2023-11-08,Lakers,• Anthony Davis,,• Anthony Davis,left adductor injury (DTD),
2023-11-10,Lakers,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2023-12-15,Lakers,• Anthony Davis,,• Anthony Davis,left adductor injury (DTD),
2023-12-18,Lakers,• Anthony Davis,• Anthony Davis,,returned to lineup,3.0
2024-01-30,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with Achilles injury,
2024-02-03,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,4.0
2024-03-27,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with hyperextended left knee,
2024-03-29,Lakers,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2024-04-09,Lakers,• Anthony Davis,,• Anthony Davis,headache (DTD),
2024-04-12,Lakers,• Anthony Davis,• Anthony Davis,,returned to lineup,3.0
2024-11-06,Lakers,• Anthony Davis,,• Anthony Davis,heel injury (DTD),
2024-11-08,Lakers,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2025-01-02,Lakers,• Anthony Davis,,• Anthony Davis,sprained left ankle (DTD),
2025-01-17,Lakers,• Anthony Davis,,• Anthony Davis,plantar fasciitis in left foot (DTD),
2025-01-19,Lakers,• Anthony Davis,• Anthony Davis,,returned to lineup,2.0
2025-01-29,Lakers,• Anthony Davis,,• Anthony Davis,placed on IL with strained abdominal,
2025-02-07,Mavericks,• Anthony Davis,• Anthony Davis,,activated from IL,9.0
2025-02-09,Mavericks,• Anthony Davis,,• Anthony Davis,placed on IL with strained left adductor,
2025-03-24,Mavericks,• Anthony Davis,• Anthony Davis,,activated from IL,43.0
2025-03-25,Mavericks,• Anthony Davis,,• Anthony Davis,placed on IL with abdominal injury,
2025-03-27,Mavericks,• Anthony Davis,• Anthony Davis,,activated from IL,2.0
2025-04-12,Mavericks,• Anthony Davis,,• Anthony Davis,placed on IL with groin injury (out for season),
2021-12-17,Timberwolves,• Anthony Edwards,,• Anthony Edwards,placed on IL with NBA health and safety protocols,
2021-12-31,Timberwolves,• Anthony Edwards,• Anthony Edwards,,activated from IL,14.0
2022-03-01,Timberwolves,• Anthony Edwards,,• Anthony Edwards,patella tendinopathy in left knee (DTD),
2022-03-04,Timberwolves,• Anthony Edwards,,• Anthony Edwards,placed on IL with patella tendinopathy in left knee,
2022-03-09,Timberwolves,• Anthony Edwards,• Anthony Edwards,,activated from IL,5.0
2023-03-18,Timberwolves,• Anthony Edwards,,• Anthony Edwards,placed on IL with sprained right ankle,
2023-03-26,Timberwolves,• Anthony Edwards,• Anthony Edwards,,activated from IL,8.0
2023-11-30,Timberwolves,• Anthony Edwards,,• Anthony Edwards,placed on IL with right hip pointer,
2023-12-06,Timberwolves,• Anthony Edwards,• Anthony Edwards,,activated from IL,6.0
2023-12-11,Timberwolves,• Anthony Edwards,,• Anthony Edwards,placed on IL with right hip pointer,
2023-12-14,Timberwolves,• Anthony Edwards,• Anthony Edwards,,activated from IL,3.0
2025-02-01,Timberwolves,• Anthony Edwards,,• Anthony Edwards,placed on IL with illness,
2025-02-03,Timberwolves,• Anthony Edwards,• Anthony Edwards,,activated from IL,2.0
2025-02-08,Timberwolves,• Anthony Edwards,,• Anthony Edwards,placed on IL with sore right hip,
2025-02-10,Timberwolves,• Anthony Edwards,• Anthony Edwards,,activated from IL,2.0
2021-02-14,Wizards,• Anthony Gill,,• Anthony Gill,placed on IL with gastroenteritis,
2021-02-15,Wizards,• Anthony Gill,• Anthony Gill,,activated from IL,1.0
2021-10-22,Wizards,• Anthony Gill,,• Anthony Gill,strained right calf (DTD),
2021-11-06,Wizards,• Anthony Gill,• Anthony Gill,,returned to lineup,15.0
2021-12-27,Wizards,• Anthony Gill,,• Anthony Gill,placed on IL with NBA health and safety protocols,
2021-12-30,Wizards,• Anthony Gill,• Anthony Gill,,activated from IL,3.0
2022-01-02,Wizards,• Anthony Gill,,• Anthony Gill,placed on IL with NBA health and safety protocols,
2022-01-11,Wizards,• Anthony Gill,• Anthony Gill,,activated from IL,9.0
2023-10-12,Wizards,• Anthony Gill,,• Anthony Gill,left hamstring injury (out indefinitely),
2023-10-28,Wizards,• Anthony Gill,• Anthony Gill,,returned to lineup,16.0
2024-04-07,Wizards,• Anthony Gill,,• Anthony Gill,sore right knee (DTD),
2024-04-09,Wizards,• Anthony Gill,• Anthony Gill,,returned to lineup,2.0
2025-02-08,Wizards,• Anthony Gill,,• Anthony Gill,placed on IL with ankle injury,
2025-02-21,Wizards,• Anthony Gill,• Anthony Gill,,activated from IL,13.0
2025-03-28,Wizards,• Anthony Gill,,• Anthony Gill,left hip injury (DTD),
2025-04-01,Wizards,• Anthony Gill,• Anthony Gill,,returned to lineup,4.0
2025-04-09,Wizards,• Anthony Gill,,• Anthony Gill,hamstring injury (DTD),
2022-03-23,Rockets,• Anthony Lamb,,• Anthony Lamb,placed on IL (out for season),
2017-03-02,Bulls,• Anthony Morrow,,• Anthony Morrow,placed on IL,
2017-03-06,Bulls,• Anthony Morrow,• Anthony Morrow,,activated from IL,4.0
2017-03-10,Bulls,• Anthony Morrow,,• Anthony Morrow,placed on IL,
2017-03-17,Bulls,• Anthony Morrow,• Anthony Morrow,,activated from IL,7.0
2016-02-22,Pistons,• Anthony Tolliver,,• Anthony Tolliver,sprained MCL in right knee (DTD),
2016-03-11,Pistons,• Anthony Tolliver,• Anthony Tolliver,,returned to lineup,18.0
2016-11-03,Kings,• Anthony Tolliver,,• Anthony Tolliver,sprained right knee (DTD),
2016-11-05,Kings,• Anthony Tolliver,,• Anthony Tolliver,placed on IL with sprained right knee,
2016-11-08,Kings,• Anthony Tolliver,• Anthony Tolliver,,activated from IL,3.0
2016-11-10,Kings,• Anthony Tolliver,• Anthony Tolliver,,returned to lineup,
2017-04-04,Kings,• Anthony Tolliver,,• Anthony Tolliver,strained right hip / lower back (DTD),
2017-04-07,Kings,• Anthony Tolliver,• Anthony Tolliver,,returned to lineup,3.0
2017-04-12,Kings,• Anthony Tolliver,,• Anthony Tolliver,placed on IL for rest (out for season),
2017-10-18,Pistons,• Anthony Tolliver,,• Anthony Tolliver,placed on IL,
2017-10-20,Pistons,• Anthony Tolliver,• Anthony Tolliver,,activated from IL,2.0
2021-04-12,76ers,• Anthony Tolliver,,• Anthony Tolliver,placed on IL with NBA health and safety protocols,
2021-04-14,76ers,• Anthony Tolliver,• Anthony Tolliver,,activated from IL,2.0
2024-12-28,Celtics,• Anton Watson,,• Anton Watson,strained left adductor (DTD),
2017-10-24,Bulls,• Antonio Blakeney,,• Antonio Blakeney,placed on IL,
2017-10-26,Bulls,• Antonio Blakeney,• Antonio Blakeney,,activated from IL,2.0
2017-10-28,Bulls,• Antonio Blakeney,,• Antonio Blakeney,placed on IL,
2017-11-07,Bulls,• Antonio Blakeney,• Antonio Blakeney,,activated from IL,10.0
2017-11-10,Bulls,• Antonio Blakeney,,• Antonio Blakeney,placed on IL,
2017-11-15,Bulls,• Antonio Blakeney,• Antonio Blakeney,,activated from IL,5.0
