Date,Team,Player,Relinquished,Notes,EstimatedDaysOut,Year,Month,YearMonth,DurationCategory,InjuryKeyword,EstimatedDaysOutFromNotes,Injury_Start,Injury_End,Actual_Duration_Days,InSeason_Duration_Days,DayOfWeek
12/7/2023,Kings,Colby Jones,Colby Jones,placed on IL with sore lower back,,2023,December,2023-12,other / unspecified,back,,12/7/2023,12/11/2023,4,5,Thursday
3/8/2025,Wizards,Colby Jones,Colby Jones,placed on IL with Achilles injury,,2025,March,2025-03,other / unspecified,achilles,,3/8/2025,3/11/2025,3,4,Saturday
4/2/2025,Wizards,Colby Jones,Colby Jones,placed on IL with bruised right lower leg,,2025,April,2025-04,other / unspecified,leg,,3/8/2025,3/11/2025,3,4,Wednesday
11/11/2017,Timberwolves,Cole Aldrich,Cole Aldrich,sprained left ankle (DTD),,2017,November,2017-11,day-to-day,ankle,3,11/11/2017,11/15/2017,4,5,Saturday
3/26/2018,Timberwolves,Cole Aldrich,Cole Aldrich,placed on IL with illness,,2018,March,2018-03,other / unspecified,illness,,11/11/2017,11/15/2017,4,5,Monday
2/11/2021,Magic,Cole Anthony,Cole Anthony,strained right shoulder (DTD),,2021,February,2021-02,day-to-day,shoulder,3,2/16/2021,4/7/2021,50,51,Thursday
2/16/2021,Magic,Cole Anthony,Cole Anthony,placed on IL with rib injury,,2021,February,2021-02,other / unspecified,rib,,2/16/2021,4/7/2021,50,51,Tuesday
11/20/2021,Magic,Cole Anthony,Cole Anthony,sprained right ankle (DTD),,2021,November,2021-11,day-to-day,ankle,3,2/16/2021,4/7/2021,50,51,Saturday
11/24/2021,Magic,Cole Anthony,Cole Anthony,placed on IL with sprained right ankle,,2021,November,2021-11,other / unspecified,ankle,,2/16/2021,4/7/2021,50,51,Wednesday
12/17/2021,Magic,Cole Anthony,Cole Anthony,sprained right ankle (DTD),,2021,December,2021-12,day-to-day,ankle,3,2/16/2021,4/7/2021,50,51,Friday
12/26/2021,Magic,Cole Anthony,Cole Anthony,placed on IL with sprained right ankle,,2021,December,2021-12,other / unspecified,ankle,,2/16/2021,4/7/2021,50,51,Sunday
4/4/2022,Magic,Cole Anthony,Cole Anthony,placed on IL with sprained left toe (out for season),,2022,April,2022-04,out for season,toe,180,2/16/2021,4/7/2021,50,51,Monday
10/19/2022,Magic,Cole Anthony,Cole Anthony,illness (DTD),,2022,October,2022-10,day-to-day,illness,3,2/16/2021,4/7/2021,50,51,Wednesday
10/27/2022,Magic,Cole Anthony,Cole Anthony,right oblique muscle injury (DTD),,2022,October,2022-10,day-to-day,Other,3,2/16/2021,4/7/2021,50,51,Thursday
2/14/2023,Magic,Cole Anthony,Cole Anthony,sore right wrist (DTD),,2023,February,2023-02,day-to-day,wrist,3,2/16/2021,4/7/2021,50,51,Tuesday
1/3/2024,Magic,Cole Anthony,Cole Anthony,placed on IL with bruised quadriceps,,2024,January,2024-01,other / unspecified,quad,,2/16/2021,4/7/2021,50,51,Wednesday
1/21/2025,Magic,Cole Anthony,Cole Anthony,illness (DTD),,2025,January,2025-01,day-to-day,illness,3,2/16/2021,4/7/2021,50,51,Tuesday
3/4/2025,Magic,Cole Anthony,Cole Anthony,toe injury (DTD),,2025,March,2025-03,day-to-day,toe,3,2/16/2021,4/7/2021,50,51,Tuesday
3/13/2025,Magic,Cole Anthony,Cole Anthony,toe injury (DTD),,2025,March,2025-03,day-to-day,toe,3,2/16/2021,4/7/2021,50,51,Thursday
3/19/2025,Magic,Cole Anthony,Cole Anthony,placed on IL with toe injury,,2025,March,2025-03,other / unspecified,toe,,2/16/2021,4/7/2021,50,51,Wednesday
10/20/2022,Lakers,Cole Swider,Cole Swider,placed on IL with foot injury,,2022,October,2022-10,other / unspecified,foot,,10/20/2022,11/22/2022,33,34,Thursday
2/25/2024,Lakers,Colin Castleton,Colin Castleton,placed on IL with fractured right wrist,,2024,February,2024-02,other / unspecified,wrist,,2/25/2024,3/27/2024,31,32,Sunday
10/10/2022,Nuggets,Collin Gillespie,Collin Gillespie,fractured lower leg (out indefinitely),,2022,October,2022-10,indefinitely,leg,30,4/14/2024,6/15/2024,62,63,Monday
10/19/2022,Nuggets,Collin Gillespie,Collin Gillespie,leg injury (DTD),,2022,October,2022-10,day-to-day,leg,3,4/14/2024,6/15/2024,62,63,Wednesday
4/14/2024,Nuggets,Collin Gillespie,Collin Gillespie,placed on IL with sprained left knee,,2024,April,2024-04,other / unspecified,knee,,4/14/2024,6/15/2024,62,63,Sunday
11/9/2024,Suns,Collin Gillespie,Collin Gillespie,placed on IL with sprained right ankle,,2024,November,2024-11,other / unspecified,ankle,,11/12/2024,1/5/2025,54,55,Saturday
11/12/2024,Suns,Collin Gillespie,Collin Gillespie,placed on IL with fractured right ankle,,2024,November,2024-11,other / unspecified,ankle,,11/12/2024,1/5/2025,54,55,Tuesday
1/7/2021,Cavaliers,Collin Sexton,Collin Sexton,sprained left ankle (DTD),,2021,January,2021-01,day-to-day,ankle,3,1/7/2021,1/20/2021,13,14,Thursday
3/24/2021,Cavaliers,Collin Sexton,Collin Sexton,placed on IL with right hamstring injury,,2021,March,2021-03,other / unspecified,hamstring,,1/7/2021,1/20/2021,13,14,Wednesday
4/11/2021,Cavaliers,Collin Sexton,Collin Sexton,placed on IL with strained left groin,,2021,April,2021-04,other / unspecified,groin,,1/7/2021,1/20/2021,13,14,Sunday
4/24/2021,Cavaliers,Collin Sexton,Collin Sexton,placed on IL with concussion,,2021,April,2021-04,concussion protocol,concussion,7,1/7/2021,1/20/2021,13,14,Saturday
11/8/2021,Cavaliers,Collin Sexton,Collin Sexton,torn meniscus in left knee (out indefinitely),,2021,November,2021-11,indefinitely,knee,30,1/7/2021,1/20/2021,13,14,Monday
11/19/2021,Cavaliers,Collin Sexton,Collin Sexton,surgery on left knee to repair torn meniscus (out for season),,2021,November,2021-11,out for season,knee,180,1/7/2021,1/20/2021,13,14,Friday
11/19/2021,Cavaliers,Collin Sexton,Collin Sexton,placed on IL recovering from surgery on left knee to repair torn meniscus (out for season),,2021,November,2021-11,out for season,knee,180,1/7/2021,1/20/2021,13,14,Friday
12/8/2022,Jazz,Collin Sexton,Collin Sexton,placed on IL with strained right hamstring,,2022,December,2022-12,other / unspecified,hamstring,,12/8/2022,12/22/2022,14,15,Thursday
2/22/2023,Jazz,Collin Sexton,Collin Sexton,placed on IL with strained left hamstring,,2023,February,2023-02,other / unspecified,hamstring,,12/8/2022,12/22/2022,14,15,Wednesday
4/8/2023,Jazz,Collin Sexton,Collin Sexton,left hamstring injury (out for season),,2023,April,2023-04,out for season,hamstring,180,12/8/2022,12/22/2022,14,15,Saturday
4/9/2024,Jazz,Collin Sexton,Collin Sexton,placed on IL with illness (out for season),,2024,April,2024-04,out for season,illness,180,12/8/2022,12/22/2022,14,15,Tuesday
2/5/2025,Jazz,Collin Sexton,Collin Sexton,placed on IL with sprained left ankle,,2025,February,2025-02,other / unspecified,ankle,,12/8/2022,12/22/2022,14,15,Wednesday
3/1/2025,Jazz,Collin Sexton,Collin Sexton,placed on IL with ankle injury,,2025,March,2025-03,other / unspecified,ankle,,12/8/2022,12/22/2022,14,15,Saturday
3/4/2025,Jazz,Collin Sexton,Collin Sexton,ankle injury (DTD),,2025,March,2025-03,day-to-day,ankle,3,12/8/2022,12/22/2022,14,15,Tuesday
3/8/2025,Jazz,Collin Sexton,Collin Sexton,placed on IL with ankle injury,,2025,March,2025-03,other / unspecified,ankle,,12/8/2022,12/22/2022,14,15,Saturday
3/31/2025,Jazz,Collin Sexton,Collin Sexton,pelvic injury (DTD),,2025,March,2025-03,day-to-day,Other,3,12/8/2022,12/22/2022,14,15,Monday
10/19/2022,Wizards,Corey Kispert,Corey Kispert,sprained left ankle (DTD),,2022,October,2022-10,day-to-day,ankle,3,10/19/2022,11/4/2022,16,17,Wednesday
11/3/2023,Wizards,Corey Kispert,Corey Kispert,placed on IL with sprained left ankle,,2023,November,2023-11,other / unspecified,ankle,,10/19/2022,11/4/2022,16,17,Friday
2/25/2024,Wizards,Corey Kispert,Corey Kispert,illness (DTD),,2024,February,2024-02,day-to-day,illness,3,10/19/2022,11/4/2022,16,17,Sunday
12/4/2024,Wizards,Corey Kispert,Corey Kispert,placed on IL with sprained left ankle,,2024,December,2024-12,other / unspecified,ankle,,10/19/2022,11/4/2022,16,17,Wednesday
3/16/2025,Wizards,Corey Kispert,Corey Kispert,placed on IL with left thumb injury (out for season),,2025,March,2025-03,out for season,Other,180,10/19/2022,11/4/2022,16,17,Sunday
3/18/2025,Wizards,Corey Kispert,Corey Kispert,surgery on left thumb (out for season),,2025,March,2025-03,out for season,surgery,180,10/19/2022,11/4/2022,16,17,Tuesday
10/28/2015,Suns,Cory Jefferson,Cory Jefferson,placed on IL,,2015,October,2015-10,other / unspecified,Other,,10/28/2015,11/2/2015,5,6,Wednesday
11/4/2015,Suns,Cory Jefferson,Cory Jefferson,placed on IL,,2015,November,2015-11,other / unspecified,Other,,10/28/2015,11/2/2015,5,6,Wednesday
11/20/2015,Suns,Cory Jefferson,Cory Jefferson,placed on IL,,2015,November,2015-11,other / unspecified,Other,,10/28/2015,11/2/2015,5,6,Friday
11/27/2015,Suns,Cory Jefferson,Cory Jefferson,placed on IL,,2015,November,2015-11,other / unspecified,Other,,10/28/2015,11/2/2015,5,6,Friday
12/13/2015,Suns,Cory Jefferson,Cory Jefferson,placed on IL,,2015,December,2015-12,other / unspecified,Other,,10/28/2015,11/2/2015,5,6,Sunday
1/2/2016,Suns,Cory Jefferson,Cory Jefferson,placed on IL,,2016,January,2016-01,other / unspecified,Other,,10/28/2015,11/2/2015,5,6,Saturday
12/18/2016,Raptors,Cory Joseph,Cory Joseph,flu (DTD),,2016,December,2016-12,day-to-day,Other,3,12/18/2016,12/20/2016,2,3,Sunday
4/15/2021,Pistons,Cory Joseph,Cory Joseph,placed on IL with sore left ankle,,2021,April,2021-04,other / unspecified,ankle,,4/15/2021,4/17/2021,2,3,Thursday
4/18/2021,Pistons,Cory Joseph,Cory Joseph,placed on IL with bronchitis,,2021,April,2021-04,other / unspecified,Other,,4/15/2021,4/17/2021,2,3,Sunday
4/22/2021,Pistons,Cory Joseph,Cory Joseph,placed on IL with left ankle injury,,2021,April,2021-04,other / unspecified,ankle,,4/15/2021,4/17/2021,2,3,Thursday
4/28/2021,Pistons,Cory Joseph,Cory Joseph,left ankle injury (DTD),,2021,April,2021-04,day-to-day,ankle,3,4/15/2021,4/17/2021,2,3,Wednesday
5/9/2021,Pistons,Cory Joseph,Cory Joseph,sore left ankle (DTD),,2021,May,2021-05,day-to-day,ankle,3,4/15/2021,4/17/2021,2,3,Sunday
12/6/2021,Pistons,Cory Joseph,Cory Joseph,right knee inflammation (DTD),,2021,December,2021-12,day-to-day,knee,3,4/15/2021,4/17/2021,2,3,Monday
12/26/2021,Pistons,Cory Joseph,Cory Joseph,placed on IL with NBA health and safety protocols,,2021,December,2021-12,other / unspecified,Other,,4/15/2021,4/17/2021,2,3,Sunday
1/11/2022,Pistons,Cory Joseph,Cory Joseph,bruised left knee (DTD),,2022,January,2022-01,day-to-day,knee,3,4/15/2021,4/17/2021,2,3,Tuesday
4/1/2022,Pistons,Cory Joseph,Cory Joseph,lumbar spine injury (out for season),,2022,April,2022-04,out for season,Other,180,4/15/2021,4/17/2021,2,3,Friday
4/10/2022,Pistons,Cory Joseph,Cory Joseph,placed on IL with lumbar spine injury (out for season),,2022,April,2022-04,out for season,Other,180,4/15/2021,4/17/2021,2,3,Sunday
11/14/2022,Pistons,Cory Joseph,Cory Joseph,placed on IL with sore left hip,,2022,November,2022-11,other / unspecified,hip,,4/15/2021,4/17/2021,2,3,Monday
1/19/2023,Pistons,Cory Joseph,Cory Joseph,placed on IL with sore right knee,,2023,January,2023-01,other / unspecified,knee,,4/15/2021,4/17/2021,2,3,Thursday
1/25/2023,Pistons,Cory Joseph,Cory Joseph,placed on IL with sore lower back,,2023,January,2023-01,other / unspecified,back,,4/15/2021,4/17/2021,2,3,Wednesday
3/24/2023,Pistons,Cory Joseph,Cory Joseph,illness (DTD),,2023,March,2023-03,day-to-day,illness,3,4/15/2021,4/17/2021,2,3,Friday
4/13/2025,Magic,Cory Joseph,Cory Joseph,knee injury (DTD),,2025,April,2025-04,day-to-day,knee,3,4/13/2025,4/14/2025,1,2,Sunday
3/21/2016,Celtics,Coty Clarke,Coty Clarke,placed on IL,,2016,March,2016-03,other / unspecified,Other,,3/21/2016,6/15/2016,86,87,Monday
1/8/2016,Grizzlies,Courtney Lee,Courtney Lee,bruised left hip (DTD),,2016,January,2016-01,day-to-day,hip,3,1/8/2016,1/12/2016,4,5,Friday
11/30/2016,Knicks,Courtney Lee,Courtney Lee,sprained left ankle (DTD),,2016,November,2016-11,day-to-day,ankle,3,12/2/2016,12/6/2016,4,5,Wednesday
12/2/2016,Knicks,Courtney Lee,Courtney Lee,placed on IL with sprained left ankle (DTD),,2016,December,2016-12,day-to-day,ankle,3,12/2/2016,12/6/2016,4,5,Friday
12/27/2016,Knicks,Courtney Lee,Courtney Lee,sore right wrist (DTD),,2016,December,2016-12,day-to-day,wrist,3,12/2/2016,12/6/2016,4,5,Tuesday
12/28/2016,Knicks,Courtney Lee,Courtney Lee,placed on IL with sore right wrist,,2016,December,2016-12,other / unspecified,wrist,,12/2/2016,12/6/2016,4,5,Wednesday
12/30/2016,Knicks,Courtney Lee,Courtney Lee,sore right wrist (DTD),,2016,December,2016-12,day-to-day,wrist,3,12/2/2016,12/6/2016,4,5,Friday
3/28/2018,Knicks,Courtney Lee,Courtney Lee,left foot injury (DTD),,2018,March,2018-03,day-to-day,foot,3,12/2/2016,12/6/2016,4,5,Wednesday
4/11/2018,Knicks,Courtney Lee,Courtney Lee,sprained left ankle (out for season),,2018,April,2018-04,out for season,ankle,180,12/2/2016,12/6/2016,4,5,Wednesday
10/17/2018,Knicks,Courtney Lee,Courtney Lee,neck injury (DTD),,2018,October,2018-10,day-to-day,Other,3,12/2/2016,12/6/2016,4,5,Wednesday
10/19/2018,Knicks,Courtney Lee,Courtney Lee,placed on IL with neck injury,,2018,October,2018-10,other / unspecified,Other,,12/2/2016,12/6/2016,4,5,Friday
12/12/2018,Knicks,Courtney Lee,Courtney Lee,placed on IL,,2018,December,2018-12,other / unspecified,Other,,12/2/2016,12/6/2016,4,5,Wednesday
2/2/2019,Knicks,Courtney Lee,Courtney Lee,placed on IL,,2019,February,2019-02,other / unspecified,Other,,12/2/2016,12/6/2016,4,5,Saturday
4/9/2019,Mavericks,Courtney Lee,Courtney Lee,placed on IL with bruised left hip,,2019,April,2019-04,other / unspecified,hip,,4/9/2019,4/10/2019,1,2,Tuesday
6/22/2020,Mavericks,Courtney Lee,Courtney Lee,left calf injury (out for season),,2020,June,2020-06,out for season,calf,180,4/9/2019,4/10/2019,1,2,Monday
8/30/2020,Mavericks,Courtney Lee,Courtney Lee,placed on IL with left calf injury (out for season),,2020,August,2020-08,out for season,calf,180,4/9/2019,4/10/2019,1,2,Sunday
3/29/2024,Cavaliers,Craig Porter Jr.,Craig Porter Jr.,placed on IL with illness,,2024,March,2024-03,other / unspecified,illness,,3/29/2024,4/6/2024,8,9,Friday
4/19/2024,Cavaliers,Craig Porter Jr.,Craig Porter Jr.,placed on IL with sprained left ankle (out for season),,2024,April,2024-04,out for season,ankle,180,3/29/2024,4/6/2024,8,9,Friday
10/28/2024,Cavaliers,Craig Porter Jr.,Craig Porter Jr.,placed on IL with sprained right thumb,,2024,October,2024-10,other / unspecified,Other,,3/29/2024,4/6/2024,8,9,Monday
12/5/2024,Cavaliers,Craig Porter Jr.,Craig Porter Jr.,illness (DTD),,2024,December,2024-12,day-to-day,illness,3,3/29/2024,4/6/2024,8,9,Thursday
12/16/2024,Cavaliers,Craig Porter Jr.,Craig Porter Jr.,placed on IL with sprained left ankle,,2024,December,2024-12,other / unspecified,ankle,,3/29/2024,4/6/2024,8,9,Monday
2/2/2025,Cavaliers,Craig Porter Jr.,Craig Porter Jr.,placed on IL with illness,,2025,February,2025-02,other / unspecified,illness,,3/29/2024,4/6/2024,8,9,Sunday
4/8/2025,Cavaliers,Craig Porter Jr.,Craig Porter Jr.,placed on IL with illness,,2025,April,2025-04,other / unspecified,illness,,3/29/2024,4/6/2024,8,9,Tuesday
10/27/2015,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL,,2015,October,2015-10,other / unspecified,Other,,10/27/2015,10/30/2015,3,4,Tuesday
11/13/2015,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL,,2015,November,2015-11,other / unspecified,Other,,10/27/2015,10/30/2015,3,4,Friday
12/7/2015,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL,,2015,December,2015-12,other / unspecified,Other,,10/27/2015,10/30/2015,3,4,Monday
12/21/2015,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL,,2015,December,2015-12,other / unspecified,Other,,10/27/2015,10/30/2015,3,4,Monday
1/11/2016,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL,,2016,January,2016-01,other / unspecified,Other,,10/27/2015,10/30/2015,3,4,Monday
1/15/2016,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL,,2016,January,2016-01,other / unspecified,Other,,10/27/2015,10/30/2015,3,4,Friday
10/24/2016,Bulls,Cristiano Felicio,Cristiano Felicio,sore neck (DTD),,2016,October,2016-10,day-to-day,Other,3,10/27/2015,10/30/2015,3,4,Monday
2/4/2017,Bulls,Cristiano Felicio,Cristiano Felicio,right leg injury (DTD),,2017,February,2017-02,day-to-day,leg,3,10/27/2015,10/30/2015,3,4,Saturday
2/6/2017,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL with strained lower right leg,,2017,February,2017-02,other / unspecified,leg,,10/27/2015,10/30/2015,3,4,Monday
3/22/2017,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL with bruised lower back,,2017,March,2017-03,other / unspecified,back,,10/27/2015,10/30/2015,3,4,Wednesday
3/29/2018,Bulls,Cristiano Felicio,Cristiano Felicio,sore lower back (DTD),,2018,March,2018-03,day-to-day,back,3,10/27/2015,10/30/2015,3,4,Thursday
3/29/2018,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL with sore lower back,,2018,March,2018-03,other / unspecified,back,,10/27/2015,10/30/2015,3,4,Thursday
10/18/2018,Bulls,Cristiano Felicio,Cristiano Felicio,sprained left ankle (DTD),,2018,October,2018-10,day-to-day,ankle,3,10/27/2015,10/30/2015,3,4,Thursday
10/23/2019,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL,,2019,October,2019-10,other / unspecified,Other,,10/27/2015,10/30/2015,3,4,Wednesday
11/12/2019,Bulls,Cristiano Felicio,Cristiano Felicio,fractured right wrist (out indefinitely),,2019,November,2019-11,indefinitely,wrist,30,10/27/2015,10/30/2015,3,4,Tuesday
12/18/2019,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL,,2019,December,2019-12,other / unspecified,Other,,10/27/2015,10/30/2015,3,4,Wednesday
12/28/2019,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL with illness,,2019,December,2019-12,other / unspecified,illness,,10/27/2015,10/30/2015,3,4,Saturday
4/30/2021,Bulls,Cristiano Felicio,Cristiano Felicio,placed on IL with illness,,2021,April,2021-04,other / unspecified,illness,,10/27/2015,10/30/2015,3,4,Friday
12/13/2024,Nets,Cui Yongxi,Cui Yongxi,torn ACL in left knee (out for season),,2024,December,2024-12,out for season,knee,180,12/13/2024,6/15/2025,184,185,Friday
1/4/2016,Lakers,D'Angelo Russell,D'Angelo Russell,placed on IL with illness,,2016,January,2016-01,other / unspecified,illness,,1/4/2016,1/7/2016,3,4,Monday
1/8/2016,Lakers,D'Angelo Russell,D'Angelo Russell,sprained right ankle (DTD),,2016,January,2016-01,day-to-day,ankle,3,1/4/2016,1/7/2016,3,4,Friday
11/18/2016,Lakers,D'Angelo Russell,D'Angelo Russell,placed on IL with sore left knee,,2016,November,2016-11,other / unspecified,knee,,1/4/2016,1/7/2016,3,4,Friday
11/21/2016,Lakers,D'Angelo Russell,D'Angelo Russell,sore left knee (DTD),,2016,November,2016-11,day-to-day,knee,3,1/4/2016,1/7/2016,3,4,Monday
11/22/2016,Lakers,D'Angelo Russell,D'Angelo Russell,placed on IL with sore left knee,,2016,November,2016-11,other / unspecified,knee,,1/4/2016,1/7/2016,3,4,Tuesday
12/17/2016,Lakers,D'Angelo Russell,D'Angelo Russell,placed on IL for rest,,2016,December,2016-12,day-to-day,rest,3,1/4/2016,1/7/2016,3,4,Saturday
1/21/2017,Lakers,D'Angelo Russell,D'Angelo Russell,strained left calf / sprained ligament in right knee (DTD),,2017,January,2017-01,day-to-day,knee,3,1/4/2016,1/7/2016,3,4,Saturday
1/22/2017,Lakers,D'Angelo Russell,D'Angelo Russell,placed on IL with strained left calf / sprained ligament in right knee,,2017,January,2017-01,other / unspecified,knee,,1/4/2016,1/7/2016,3,4,Sunday
4/5/2017,Lakers,D'Angelo Russell,D'Angelo Russell,placed on IL with sore left knee,,2017,April,2017-04,other / unspecified,knee,,1/4/2016,1/7/2016,3,4,Wednesday
10/25/2017,Nets,D'Angelo Russell,D'Angelo Russell,placed on IL with sprained right knee,,2017,October,2017-10,other / unspecified,knee,,10/25/2017,10/27/2017,2,3,Wednesday
11/12/2017,Nets,D'Angelo Russell,D'Angelo Russell,bruised left knee (DTD),,2017,November,2017-11,day-to-day,knee,3,10/25/2017,10/27/2017,2,3,Sunday
11/14/2017,Nets,D'Angelo Russell,D'Angelo Russell,placed on IL with bruised left knee,,2017,November,2017-11,other / unspecified,knee,,10/25/2017,10/27/2017,2,3,Tuesday
11/17/2017,Nets,D'Angelo Russell,D'Angelo Russell,arthroscopic surgery on left knee (out indefinitely),,2017,November,2017-11,indefinitely,knee,30,10/25/2017,10/27/2017,2,3,Friday
1/27/2018,Nets,D'Angelo Russell,D'Angelo Russell,placed on IL for rest,,2018,January,2018-01,day-to-day,rest,3,10/25/2017,10/27/2017,2,3,Saturday
11/2/2019,Warriors,D'Angelo Russell,D'Angelo Russell,sprained right ankle (DTD),,2019,November,2019-11,day-to-day,ankle,3,11/2/2019,11/8/2019,6,7,Saturday
11/16/2019,Warriors,D'Angelo Russell,D'Angelo Russell,sprained right thumb (DTD),,2019,November,2019-11,day-to-day,Other,3,11/2/2019,11/8/2019,6,7,Saturday
11/29/2019,Warriors,D'Angelo Russell,D'Angelo Russell,placed on IL with sprained right thumb,,2019,November,2019-11,other / unspecified,Other,,11/2/2019,11/8/2019,6,7,Friday
12/31/2019,Warriors,D'Angelo Russell,D'Angelo Russell,right shoulder injury (DTD),,2019,December,2019-12,day-to-day,shoulder,3,11/2/2019,11/8/2019,6,7,Tuesday
1/4/2020,Warriors,D'Angelo Russell,D'Angelo Russell,placed on IL with right shoulder injury,,2020,January,2020-01,other / unspecified,shoulder,,11/2/2019,11/8/2019,6,7,Saturday
2/3/2020,Warriors,D'Angelo Russell,D'Angelo Russell,bruised right quadriceps (DTD),,2020,February,2020-02,day-to-day,quad,3,11/2/2019,11/8/2019,6,7,Monday
2/8/2020,Timberwolves,D'Angelo Russell,D'Angelo Russell,placed on IL with bruised right quadriceps,,2020,February,2020-02,other / unspecified,quad,,2/8/2020,2/10/2020,2,3,Saturday
1/23/2021,Timberwolves,D'Angelo Russell,D'Angelo Russell,placed on IL with bruised right quadriceps,,2021,January,2021-01,other / unspecified,quad,,2/8/2020,2/10/2020,2,3,Saturday
2/6/2021,Timberwolves,D'Angelo Russell,D'Angelo Russell,placed on IL with right quadricep injury,,2021,February,2021-02,other / unspecified,quad,,2/8/2020,2/10/2020,2,3,Saturday
2/10/2021,Timberwolves,D'Angelo Russell,D'Angelo Russell,placed on IL with sore left leg,,2021,February,2021-02,other / unspecified,leg,,2/8/2020,2/10/2020,2,3,Wednesday
2/16/2021,Timberwolves,D'Angelo Russell,D'Angelo Russell,surgery on left knee (out indefinitely),,2021,February,2021-02,indefinitely,knee,30,2/8/2020,2/10/2020,2,3,Tuesday
11/2/2021,Timberwolves,D'Angelo Russell,D'Angelo Russell,placed on IL with sprained right ankle,,2021,November,2021-11,other / unspecified,ankle,,2/8/2020,2/10/2020,2,3,Tuesday
12/6/2021,Timberwolves,D'Angelo Russell,D'Angelo Russell,placed on IL with sore right ankle,,2021,December,2021-12,other / unspecified,ankle,,2/8/2020,2/10/2020,2,3,Monday
12/25/2021,Timberwolves,D'Angelo Russell,D'Angelo Russell,placed on IL with NBA health and safety protocols,,2021,December,2021-12,other / unspecified,Other,,2/8/2020,2/10/2020,2,3,Saturday
1/28/2022,Timberwolves,D'Angelo Russell,D'Angelo Russell,placed on IL with bruised left shin,,2022,January,2022-01,other / unspecified,Other,,2/8/2020,2/10/2020,2,3,Friday
3/7/2022,Timberwolves,D'Angelo Russell,D'Angelo Russell,placed on IL with hamstring injury,,2022,March,2022-03,other / unspecified,hamstring,,2/8/2020,2/10/2020,2,3,Monday
4/7/2022,Timberwolves,D'Angelo Russell,D'Angelo Russell,placed on IL with hamstring injury (out for season),,2022,April,2022-04,out for season,hamstring,180,2/8/2020,2/10/2020,2,3,Thursday
12/14/2022,Timberwolves,D'Angelo Russell,D'Angelo Russell,placed on IL with bruised left knee,,2022,December,2022-12,other / unspecified,knee,,2/8/2020,2/10/2020,2,3,Wednesday
1/2/2023,Timberwolves,D'Angelo Russell,D'Angelo Russell,illness (DTD),,2023,January,2023-01,day-to-day,illness,3,2/8/2020,2/10/2020,2,3,Monday
2/26/2023,Lakers,D'Angelo Russell,D'Angelo Russell,placed on IL with sprained right ankle,,2023,February,2023-02,other / unspecified,ankle,,1/4/2016,1/7/2016,3,4,Sunday
3/24/2023,Lakers,D'Angelo Russell,D'Angelo Russell,right hip injury (DTD),,2023,March,2023-03,day-to-day,hip,3,1/4/2016,1/7/2016,3,4,Friday
4/4/2023,Lakers,D'Angelo Russell,D'Angelo Russell,placed on IL with sore left foot,,2023,April,2023-04,other / unspecified,foot,,1/4/2016,1/7/2016,3,4,Tuesday
12/15/2023,Lakers,D'Angelo Russell,D'Angelo Russell,migraine headache (DTD),,2023,December,2023-12,day-to-day,Other,3,1/4/2016,1/7/2016,3,4,Friday
12/31/2023,Lakers,D'Angelo Russell,D'Angelo Russell,bruised tailbone (DTD),,2023,December,2023-12,day-to-day,Other,3,1/4/2016,1/7/2016,3,4,Sunday
1/5/2024,Lakers,D'Angelo Russell,D'Angelo Russell,placed on IL with bruised tailbone,,2024,January,2024-01,other / unspecified,Other,,1/4/2016,1/7/2016,3,4,Friday
2/8/2024,Lakers,D'Angelo Russell,D'Angelo Russell,sore left knee (DTD),,2024,February,2024-02,day-to-day,knee,3,1/4/2016,1/7/2016,3,4,Thursday
3/24/2024,Lakers,D'Angelo Russell,D'Angelo Russell,placed on IL with illness,,2024,March,2024-03,other / unspecified,illness,,1/4/2016,1/7/2016,3,4,Sunday
12/1/2024,Lakers,D'Angelo Russell,D'Angelo Russell,placed on IL with illness,,2024,December,2024-12,other / unspecified,illness,,1/4/2016,1/7/2016,3,4,Sunday
12/25/2024,Lakers,D'Angelo Russell,D'Angelo Russell,sprained left thumb (DTD),,2024,December,2024-12,day-to-day,Other,3,1/4/2016,1/7/2016,3,4,Wednesday
1/6/2025,Nets,D'Angelo Russell,D'Angelo Russell,bruised right shin (DTD),,2025,January,2025-01,day-to-day,Other,3,10/25/2017,10/27/2017,2,3,Monday
1/12/2025,Nets,D'Angelo Russell,D'Angelo Russell,placed on IL with bruised right shin,,2025,January,2025-01,other / unspecified,Other,,10/25/2017,10/27/2017,2,3,Sunday
1/15/2025,Nets,D'Angelo Russell,D'Angelo Russell,bruised right shin (DTD),,2025,January,2025-01,day-to-day,Other,3,10/25/2017,10/27/2017,2,3,Wednesday
